participantId,condition,timeSinceStartup,correctNodeHit,keypressed,calibrationData,bubbleSize,numberNodes,targetNode,currentSelectedNode
1,EYE,6.24662,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.263521,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.280477,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.297537,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.317775,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.330972,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.347545,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.364524,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.381447,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.398306,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.415095,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.432118,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.44912,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.465642,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.482669,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.499369,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.516368,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.533833,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.549976,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.566744,,a,noCalibrationDataSet,10,150,70,75
1,EYE,6.583659,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.60041,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.617376,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.634184,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.651063,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.667671,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.684811,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.702031,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.718693,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.73527,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.752338,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.768982,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.785666,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.802663,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.819697,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.836339,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.853301,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.870385,,w,noCalibrationDataSet,10,150,70,75
1,EYE,6.88703,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.903797,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.923941,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.937512,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.954591,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.971423,,,noCalibrationDataSet,10,150,70,75
1,EYE,6.988091,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.004892,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.024866,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.038894,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.056748,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.072313,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.089404,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.106011,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.126297,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.139677,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.156268,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.173168,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.190075,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.206765,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.227143,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.24076,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.257586,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.274333,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.291121,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.308178,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.328189,,,noCalibrationDataSet,10,150,70,75
1,EYE,7.341692,,,noCalibrationDataSet,10,150,70,75
