Subject;trial_id;condition_id;object_number;duration;distance;hit_try;letter;input_letters;right_letters;levensthein_distance;buchstabe_1;buchstabe_2;buchstabe_3;buchstabe_4;buchstabe_5;buchstabe_6;buchstabe_7
5;6;1;1;1.688965;-126;1;C;;C;;;;;;;;
5;6;1;2;1.933228;90;2;C;;CC;;;;;;;;
5;6;1;3;1.422241;-126;1;A;;CCA;;;;;;;;
5;6;1;4;0.9838867;108;1;C;;CCAC;;;;;;;;
5;6;1;5;0.7890625;90;1;D;;CCACD;;;;;;;;
5;6;1;6;0.9554443;108;1;C;;CCACDC;;;;;;;;
5;6;1;7;1.111328;108;1;B;CCACDAC;CCACDCB;2;1;1;1;1;1;0;0
5;7;1;1;1.51123;-162;1;C;;C;;;;;;;;
5;7;1;2;1.956909;180;1;A;;CA;;;;;;;;
5;7;1;3;1.173096;144;1;B;;CAB;;;;;;;;
5;7;1;4;1.566895;162;1;B;;CABB;;;;;;;;
5;7;1;5;1.711182;-126;2;C;;CABBC;;;;;;;;
5;7;1;6;2.010742;108;1;C;;CABBCC;;;;;;;;
5;7;1;7;1.367554;162;1;D;CABACCB;CABBCCD;2;1;1;1;0;1;1;0
5;8;1;1;1.589111;-180;1;D;;D;;;;;;;;
5;8;1;2;1.7229;-144;2;B;;DB;;;;;;;;
5;8;1;3;0.8884277;108;1;B;;DBB;;;;;;;;
5;8;1;4;1.033936;108;1;A;;DBBA;;;;;;;;
5;8;1;5;1.028809;90;2;A;;DBBAA;;;;;;;;
5;8;1;6;1.766846;-180;1;C;;DBBAAC;;;;;;;;
5;8;1;7;1.344238;-144;1;B;DBBACCB;DBBAACB;1;1;1;1;1;0;1;1
5;9;1;1;1.176758;90;2;D;;D;;;;;;;;
5;9;1;2;1.388916;-144;1;C;;DC;;;;;;;;
5;9;1;3;1.588867;-126;1;A;;DCA;;;;;;;;
5;9;1;4;2.577881;108;2;C;;DCAC;;;;;;;;
5;9;1;5;1.915039;-108;1;A;;DCACA;;;;;;;;
5;9;1;6;1.655518;-162;1;A;;DCACAA;;;;;;;;
5;9;1;7;1.312012;54;2;B;DCACAAB;DCACAAB;0;1;1;1;1;1;1;1
5;10;1;1;1.66626;162;1;D;;D;;;;;;;;
5;10;1;2;1.76709;162;1;A;;DA;;;;;;;;
5;10;1;3;1.733643;-162;1;B;;DAB;;;;;;;;
5;10;1;4;1.733154;144;2;C;;DABC;;;;;;;;
5;10;1;5;1.044189;54;2;A;;DABCA;;;;;;;;
5;10;1;6;1.022705;-126;1;C;;DABCAC;;;;;;;;
5;10;1;7;1.498779;-144;1;D;DABCACD;DABCACD;0;1;1;1;1;1;1;1
6;1;1;1;1.276611;-90;1;B;;B;;;;;;;;
6;1;1;2;1.428131;126;1;A;;BA;;;;;;;;
6;1;1;3;1.499756;108;1;D;;BAD;;;;;;;;
6;1;1;4;2.000061;108;2;B;;BADB;;;;;;;;
6;1;1;5;1.778168;126;1;D;;BADBD;;;;;;;;
6;1;1;6;1.977234;-162;1;C;;BADBDC;;;;;;;;
6;1;1;7;1.433502;36;2;D;BADBDCD;BADBDCD;0;1;1;1;1;1;1;1
6;2;1;1;1.444183;126;1;D;;D;;;;;;;;
6;2;1;2;1.277252;-126;1;B;;DB;;;;;;;;
6;2;1;3;1.810699;-144;1;B;;DBB;;;;;;;;
6;2;1;4;1.977997;-144;1;A;;DBBA;;;;;;;;
6;2;1;5;2.36145;-144;1;C;;DBBAC;;;;;;;;
6;2;1;6;1.532837;108;2;D;;DBBACD;;;;;;;;
6;2;1;7;1.243805;-108;1;C;DBBADBC;DBBACDC;2;1;1;1;1;0;0;1
6;3;1;1;1.593384;-126;1;D;;D;;;;;;;;
6;3;1;2;2.22113;-162;1;D;;DD;;;;;;;;
6;3;1;3;1.851837;162;1;D;;DDD;;;;;;;;
6;3;1;4;1.210236;-108;1;A;;DDDA;;;;;;;;
6;3;1;5;1.221436;108;1;B;;DDDAB;;;;;;;;
6;3;1;6;1.611176;-144;1;C;;DDDABC;;;;;;;;
6;3;1;7;1.621826;-126;1;C;DDDABCC;DDDABCC;0;1;1;1;1;1;1;1
6;4;1;1;1.593231;-90;1;D;;D;;;;;;;;
6;4;1;2;1.245026;-108;1;B;;DB;;;;;;;;
6;4;1;3;1.889618;-162;1;A;;DBA;;;;;;;;
6;4;1;4;1.166199;-90;1;C;;DBAC;;;;;;;;
6;4;1;5;1.372498;126;1;D;;DBACD;;;;;;;;
6;4;1;6;1.922302;162;1;B;;DBACDB;;;;;;;;
6;4;1;7;2.904877;108;2;C;DBACDBD;DBACDBC;1;1;1;1;1;1;1;0
6;5;1;1;2.143738;162;1;A;;A;;;;;;;;
6;5;1;2;1.955994;162;1;C;;AC;;;;;;;;
6;5;1;3;3.000824;108;2;C;;ACC;;;;;;;;
6;5;1;4;2.069244;-180;1;B;;ACCB;;;;;;;;
6;5;1;5;1.167236;-90;1;D;;ACCBD;;;;;;;;
6;5;1;6;2.066528;-144;1;D;;ACCBDD;;;;;;;;
6;5;1;7;1.788269;-126;1;A;ACDBDAB;ACCBDDA;3;1;1;0;1;1;0;0
6;6;1;1;1.588898;144;1;B;;B;;;;;;;;
6;6;1;2;1.32254;-126;1;B;;BB;;;;;;;;
6;6;1;3;1.000061;90;1;B;;BBB;;;;;;;;
6;6;1;4;0.9109802;90;1;D;;BBBD;;;;;;;;
6;6;1;5;1.44458;-126;1;A;;BBBDA;;;;;;;;
6;6;1;6;1.299377;-108;1;D;;BBBDAD;;;;;;;;
6;6;1;7;1.366455;-108;1;C;BDDBABD;BBBDADC;5;1;0;0;0;1;0;0
6;7;1;1;1.85553;162;1;D;;D;;;;;;;;
6;7;1;2;3.854858;126;2;C;;DC;;;;;;;;
6;7;1;3;2.033661;162;1;C;;DCC;;;;;;;;
6;7;1;4;1.666565;144;1;B;;DCCB;;;;;;;;
6;7;1;5;2.332977;-144;2;C;;DCCBC;;;;;;;;
6;7;1;6;1.76767;144;1;B;;DCCBCB;;;;;;;;
6;7;1;7;1.088287;90;1;C;DBCBDAC;DCCBCBC;3;1;0;1;1;0;0;1
6;8;1;1;1.500549;90;2;B;;B;;;;;;;;
6;8;1;2;1.054993;-108;1;C;;BC;;;;;;;;
6;8;1;3;1.500854;-126;1;A;;BCA;;;;;;;;
6;8;1;4;1.638611;-126;1;C;;BCAC;;;;;;;;
6;8;1;5;1.455688;144;1;C;;BCACC;;;;;;;;
6;8;1;6;1.688416;108;2;B;;BCACCB;;;;;;;;
6;8;1;7;1.933472;-180;1;A;BCABBCA;BCACCBA;3;1;1;1;0;0;0;1
6;9;1;1;1.089478;-108;1;B;;B;;;;;;;;
6;9;1;2;1.267029;-108;1;C;;BC;;;;;;;;
6;9;1;3;1.734802;144;2;D;;BCD;;;;;;;;
6;9;1;4;1.258362;126;1;C;;BCDC;;;;;;;;
6;9;1;5;1.978027;144;1;C;;BCDCC;;;;;;;;
